Age     Sea_Level  d18o
57666	-74	   0.61
57832	-73	   0.6
57998	-70	   0.57
58163	-70	   0.57
58329	-68	   0.56
58495	-68	   0.56
58661	-70	   0.57
58826	-69	   0.57
58992	-69	   0.57
59158	-68	   0.56
59324	-69	   0.57
59489	-69	   0.57
59655	-68	   0.56
59893	-71	   0.59
60130	-71	   0.58
60368	-76	   0.62
60605	-85	   0.7
60843	-88	   0.72
61080	-91	   0.74
61318	-93	   0.76
61555	-90	   0.74
61793	-92	   0.75
62031	-97	   0.79
62268	-100	   0.82
62506	-99	   0.81
62743	-97	   0.8
62981	-90	   0.74
63218	-84	   0.69
63456	-84	   0.69
63693	-85	   0.7
63931	-88	   0.72
64169	-92	   0.75
64406	-92	   0.75
64644	-93	   0.76
64881	-90	   0.73
65119	-84	   0.69
65356	-80	   0.66
65594	-79	   0.65
65831	-82	   0.67
66069	-86	   0.71
66306	-89	   0.73
66544	-87	   0.71
66782	-85	   0.7
67019	-82	   0.67
67257	-79	   0.65
67494	-82	   0.67
67732	-82	   0.67
67969	-81	   0.66
68207	-80	   0.65
68444	-78	   0.64
68682	-78	   0.64
68920	-78	   0.64
69157	-81	   0.67
69395	-85	   0.7
69632	-86	   0.7
69870	-85	   0.7
70107	-85	   0.7
70345	-85	   0.7
70582	-84	   0.68
70820	-80	   0.66
70932	-78	   0.64
71044	-77	   0.63
71156	-76	   0.63
71268	-75	   0.62
71379	-73	   0.6
71491	-71	   0.58
71603	-68	   0.56
71715	-67	   0.55
71827	-68	   0.55
71939	-66	   0.54
72051	-65	   0.53
72163	-63	   0.51
72274	-61	   0.5
72386	-59	   0.48
72498	-59	   0.48
72610	-59	   0.48
72722	-59	   0.48
72834	-58	   0.48
72946	-57	   0.47
73058	-56	   0.46
73169	-54	   0.44
73281	-51	   0.42
73393	-47	   0.39
73505	-48	   0.4
73617	-53	   0.43
73729	-57	   0.47
73841	-58	   0.48
73953	-56	   0.46
74064	-53	   0.44
74176	-50	   0.41
74288	-49	   0.4
74400	-43	   0.35
74512	-39	   0.32
74624	-39	   0.32
74736	-39	   0.32
74848	-40	   0.33
74959	-40	   0.32
75071	-37	   0.31
75183	-33	   0.27
75295	-30	   0.25
75407	-31	   0.25
75519	-33	   0.27
75631	-35	   0.28
75743	-31	   0.25
75854	-28	   0.23
75966	-26	   0.21
76078	-24	   0.2
76190	-24	   0.2
76664	-24	   0.2
77138	-25	   0.2
77612	-26	   0.21
78086	-25	   0.21
78560	-24	   0.2
79034	-24	   0.2
79508	-24	   0.2
79982	-24	   0.2
80456	-22	   0.18
80930	-18	   0.15
81404	-13	   0.1
81878	-8	   0.07
82352	-10	   0.08
82826	-12	   0.1
83300	-14	   0.12
83774	-17	   0.14
84248	-20	   0.16
84722	-24	   0.2
85196	-27	   0.22
85670	-28	   0.23
86144	-28	   0.23
86618	-28	   0.23
87092	-27	   0.22
87566	-26	   0.21
88040	-26	   0.21
88514	-28	   0.23
88988	-31	   0.25
89462	-34	   0.27
89936	-37	   0.3
90410	-38	   0.31
90884	-40	   0.33
91358	-42	   0.34
91832	-44	   0.36
92600	-55	   0.45
93361	-36	   0.3
94129	-47	   0.39
94890	-45	   0.37
95907	-26	   0.21
96668	-23	   0.19
97436	-21	   0.17
98197	-33	   0.27
98964	-27	   0.22
99725	-18	   0.15
100500	-14	   0.12
101770	-19	   0.15
102694	-20	   0.16
103387	-22	   0.18
104195	-14	   0.11
